"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENSEMBL"	"SYMBOL"	"GENENAME"
"chr1"	93715	97276	3562	"*"	"MACS2_peak_9"	26	"."	4.14513	6.14771	2.60629	"Intron (uc057aub.1/uc057aub.1, intron 2 of 3)"	1	69091	70008	918	1	"79501"	"uc001aal.1"	24624	"ENSG00000186092"	"OR4F5"	"olfactory receptor family 4 subfamily F member 5"
"chr1"	106652	110057	3406	"*"	"MACS2_peak_12"	16	"."	3.67164	4.96955	1.6608	"Intron (uc057aub.1/uc057aub.1, intron 2 of 3)"	1	139790	140339	550	2	"729737"	"uc057auh.1"	30282	NA	"LOC729737"	"uncharacterized LOC729737"
"chr1"	897324	898249	926	"*"	"MACS2_peak_49"	13	"."	3.13345	4.38666	1.36312	"Distal Intergenic"	1	917370	918534	1165	2	"100130417"	"uc057axr.1"	20285	"ENSG00000223764"	"LOC100130417"	"uncharacterized LOC100130417"
"chr1"	1595049	1595809	761	"*"	"MACS2_peak_50"	12	"."	2.40225	4.24178	1.26448	"Promoter (4-5kb)"	1	1598012	1600096	2085	2	"643988"	"uc021oes.2"	4287	"ENSG00000228594"	"FNDC10"	"fibronectin type III domain containing 10"
"chr1"	14599555	14601546	1992	"*"	"MACS2_peak_68"	14	"."	3.19297	4.58217	1.41606	"Promoter (<=1kb)"	1	14598717	15065797	467081	1	"23254"	"uc031tqj.2"	838	"ENSG00000189337"	"KAZN"	"kazrin, periplakin interacting protein"
"chr1"	16564562	16567922	3361	"*"	"MACS2_peak_74"	36	"."	4.7317	7.4421	3.63265	"3' UTR"	1	16548914	16548987	74	1	"100500876"	"uc021ogu.1"	15648	"ENSG00000263811"	"MIR3675"	"microRNA 3675"
"chr1"	16604777	16605111	335	"*"	"MACS2_peak_81"	12	"."	3.24843	4.19073	1.23187	"Promoter (<=1kb)"	1	16564853	16604934	40082	2	"55672"	"uc057crz.1"	0	"ENSG00000219481"	"NBPF1"	"NBPF member 1"
"chr1"	16778797	16780286	1490	"*"	"MACS2_peak_86"	16	"."	3.62715	4.99275	1.69823	"Intron (uc009voy.2/9696, intron 1 of 8)"	1	16740516	16740679	164	1	"26863"	"uc031tra.1"	38281	"ENSG00000206737"	"RNVU1-18"	"RNA, variant U1 small nuclear 18"
"chr1"	18631957	18632274	318	"*"	"MACS2_peak_87"	19	"."	3.26105	5.33852	1.96719	"Promoter (<=1kb)"	1	18631524	18736102	104579	1	"5081"	"uc001baz.4"	433	"ENSG00000009709"	"PAX7"	"paired box 7"
"chr1"	18639381	18639691	311	"*"	"MACS2_peak_89"	14	"."	3.09566	4.60367	1.45426	"Intron (uc001bay.3/5081, intron 4 of 7)"	1	18631524	18736102	104579	1	"5081"	"uc001baz.4"	7857	"ENSG00000009709"	"PAX7"	"paired box 7"
"chr1"	31240257	31240619	363	"*"	"MACS2_peak_116"	17	"."	3.19842	4.97526	1.72133	"Promoter (<=1kb)"	1	31179745	31239554	59810	2	"79570"	"uc010ogd.3"	-703	"ENSG00000084628"	"NKAIN1"	"sodium/potassium transporting ATPase interacting 1"
"chr1"	42381314	42382049	736	"*"	"MACS2_peak_146"	21	"."	3.864	5.47009	2.11246	"Promoter (<=1kb)"	1	42380806	42422578	41773	1	"284716"	"uc001chi.3"	508	"ENSG00000177181"	"RIMKLA"	"ribosomal modification protein rimK like family member A"
"chr1"	42419846	42421677	1832	"*"	"MACS2_peak_147"	16	"."	3.71913	4.99177	1.66915	"3' UTR"	1	42432860	42435522	2663	2	"84217"	"uc057fiu.1"	13845	"ENSG00000066185"	"ZMYND12"	"zinc finger MYND-type containing 12"
"chr1"	44410221	44410428	208	"*"	"MACS2_peak_150"	32	"."	3.90509	7.05503	3.22212	"Promoter (1-2kb)"	1	44408702	44412121	3420	1	"55182"	"uc057fud.1"	1519	"ENSG00000187147"	"RNF220"	"ring finger protein 220"
"chr1"	44414046	44416110	2065	"*"	"MACS2_peak_151"	13	"."	3.5041	4.50914	1.3369	"Promoter (1-2kb)"	1	44412698	44419872	7175	1	"55182"	"uc057fue.1"	1348	"ENSG00000187147"	"RNF220"	"ring finger protein 220"
"chr1"	44419993	44421111	1119	"*"	"MACS2_peak_153"	15	"."	3.62005	4.76523	1.50493	"Intron (uc001clw.2/55182, intron 2 of 14)"	1	44412698	44419872	7175	1	"55182"	"uc057fue.1"	7295	"ENSG00000187147"	"RNF220"	"ring finger protein 220"
"chr1"	45205008	45205305	298	"*"	"MACS2_peak_155"	19	"."	3.90914	5.42239	1.97458	"Promoter (1-2kb)"	1	45016399	45206556	190158	2	"57643"	"uc001cnd.3"	1251	"ENSG00000162415"	"ZSWIM5"	"zinc finger SWIM-type containing 5"
"chr1"	45206935	45207919	985	"*"	"MACS2_peak_156"	23	"."	4.0319	5.79763	2.34166	"Promoter (<=1kb)"	1	45016399	45206556	190158	2	"57643"	"uc001cnd.3"	-379	"ENSG00000162415"	"ZSWIM5"	"zinc finger SWIM-type containing 5"
"chr1"	46447506	46448102	597	"*"	"MACS2_peak_159"	10	"."	2.61862	3.84182	1.08173	"Promoter (1-2kb)"	1	46446673	46449704	3032	2	"101929651"	"uc057gep.1"	1602	"ENSG00000224863"	"LINC01398"	"long intergenic non-protein coding RNA 1398"
"chr1"	46491412	46491847	436	"*"	"MACS2_peak_160"	16	"."	2.92043	4.83947	1.62014	"Distal Intergenic"	1	46506996	46514212	7217	1	"127343"	"uc001cpx.4"	-15149	"ENSG00000197587"	"DMBX1"	"diencephalon/mesencephalon homeobox 1"
"chr1"	47232691	47233328	638	"*"	"MACS2_peak_163"	17	"."	3.33932	5.00342	1.70662	"Promoter (<=1kb)"	1	47224072	47232220	8149	2	"6886"	"uc001cqz.2"	-471	"ENSG00000162367"	"TAL1"	"TAL bHLH transcription factor 1, erythroid differentiation factor"
"chr1"	47418067	47418531	465	"*"	"MACS2_peak_164"	19	"."	3.69872	5.15593	1.917	"Promoter (1-2kb)"	1	47416072	47418052	1981	1	"2301"	"uc001crk.3"	1995	"ENSG00000186790"	"FOXE3"	"forkhead box E3"
"chr1"	47443515	47444536	1022	"*"	"MACS2_peak_165"	19	"."	3.26971	5.36493	1.98528	"Distal Intergenic"	1	47436017	47440691	4675	1	"2306"	"uc001crm.3"	7498	"ENSG00000186564"	"FOXD2"	"forkhead box D2"
"chr1"	47459599	47460556	958	"*"	"MACS2_peak_167"	11	"."	3.32253	4.12788	1.11643	"Distal Intergenic"	1	47436017	47440691	4675	1	"2306"	"uc001crm.3"	23582	"ENSG00000186564"	"FOXD2"	"forkhead box D2"
"chr1"	50418164	50418511	348	"*"	"MACS2_peak_174"	20	"."	3.12298	5.39939	2.01595	"Promoter (3-4kb)"	1	50417550	50421632	4083	2	"63950"	"uc010ona.3"	3121	"ENSG00000142700"	"DMRTA2"	"DMRT like family A2"
"chr1"	50428408	50428713	306	"*"	"MACS2_peak_175"	12	"."	2.93766	4.28145	1.26907	"Promoter (4-5kb)"	1	50417550	50423500	5951	2	"63950"	"uc010onb.3"	-4908	"ENSG00000142700"	"DMRTA2"	"DMRT like family A2"
"chr1"	50429680	50430475	796	"*"	"MACS2_peak_176"	13	"."	3.06542	4.35427	1.36234	"Distal Intergenic"	1	50417550	50423500	5951	2	"63950"	"uc010onb.3"	-6180	"ENSG00000142700"	"DMRTA2"	"DMRT like family A2"
"chr1"	53736863	53737351	489	"*"	"MACS2_peak_180"	18	"."	3.45561	5.11933	1.81188	"Promoter (<=1kb)"	1	53506242	53738106	231865	2	"148979"	"uc057grx.1"	755	"ENSG00000174332"	"GLIS1"	"GLIS family zinc finger 1"
"chr1"	58248868	58249176	309	"*"	"MACS2_peak_186"	16	"."	3.72893	5.00034	1.65292	"Intron (uc057gxg.1/1600, intron 4 of 20)"	1	58462552	58506199	43648	2	"115209"	"uc057gyp.1"	257023	"ENSG00000162600"	"OMA1"	"OMA1 zinc metallopeptidase"
"chr1"	60865057	60865316	260	"*"	"MACS2_peak_197"	17	"."	3.78399	5.14215	1.78229	"Promoter (<=1kb)"	1	60865259	61455525	590267	1	"4774"	"uc057hbg.1"	0	"ENSG00000162599"	"NFIA"	"nuclear factor I A"
"chr1"	63325799	63327551	1753	"*"	"MACS2_peak_204"	17	"."	3.11453	5.04751	1.76716	"Promoter (<=1kb)"	1	63326925	63326984	60	2	"102464823"	"uc031ucw.1"	0	"ENSG00000275836"	"MIR6068"	"microRNA 6068"
